sigma3,eps1,sig1,eps3
2.5,0.0111,57.72824973,-0.0218476
2.5,0.0114,55.88224678,-0.022593025
2.5,0.0117,54.14829205,-0.023336885
2.5,0.012,52.51881925,-0.024079223
2.5,0.0123,50.98669466,-0.024820083
2.5,0.0126,49.54522618,-0.025559503
2.5,0.0129,48.18816024,-0.026297521
2.5,0.0132,46.90967048,-0.027034173
2.5,0.0135,45.70434082,-0.027769493
2.5,0.0138,44.56714517,-0.028503514
2.5,0.0141,43.4934252,-0.029236267
2.5,0.0144,42.47886726,-0.02996778
2.5,0.0147,41.51947921,-0.030698084
2.5,0.015,40.61156778,-0.031427204
2.5,0.0153,39.75171669,-0.032155167
2.5,0.0156,38.9367658,-0.032881998
2.5,0.0159,38.16379146,-0.033607721
2.5,0.0162,37.43008814,-0.034332358
2.5,0.0165,36.73315119,-0.035055933
2.5,0.0168,36.07066098,-0.035778465
2.5,0.0171,35.44046812,-0.036499975
2.5,0.0174,34.84057991,-0.037220484
2.5,0.0177,34.26914778,-0.03794001
2.5,0.018,33.72445585,-0.038658571
2.5,0.0183,33.20491031,-0.039376186
2.5,0.0186,32.70902979,-0.040092871
2.5,0.0189,32.23543645,-0.040808642
2.5,0.0192,31.78284786,-0.041523516
2.5,0.0195,31.35006953,-0.042237508
2.5,0.0198,30.9359881,-0.042950634
2.5,0.0201,30.53956506,-0.043662906
2.5,0.0204,30.15983107,-0.04437434
2.5,0.0207,29.79588064,-0.045084949
2.5,0.021,29.44686737,-0.045794745
2.5,0.0213,29.11199948,-0.046503743
2.5,0.0216,28.79053583,-0.047211954
2.5,0.0219,28.48178212,-0.04791939
2.5,0.0222,28.18508752,-0.048626063
2.5,0.0225,27.89984153,-0.049331984
2.5,0.0228,27.62547108,-0.050037165
2.5,0.0231,27.36143785,-0.050741615
2.5,0.0234,27.1072359,-0.051445346
2.5,0.0237,26.86238931,-0.052148367
2.5,0.024,26.6264502,-0.052850689
2.5,0.0243,26.39899676,-0.053552321
2.5,0.0246,26.17963149,-0.054253272
2.5,0.0249,25.96797958,-0.054953552
2.5,0.0252,25.7636874,-0.055653169
2.5,0.0255,25.56642108,-0.056352132
2.5,0.0258,25.37586525,-0.057050449
2.5,0.0261,25.19172182,-0.05774813
2.5,0.0264,25.01370888,-0.058445181
2.5,0.0267,24.84155968,-0.059141611
2.5,0.027,24.67502167,-0.059837427
2.5,0.0273,24.5138556,-0.060532637
2.5,0.0276,24.35783472,-0.061227248
2.5,0.0279,24.206744,-0.061921268
2.5,0.0282,24.06037942,-0.062614703
2.5,0.0285,23.91854732,-0.06330756
2.5,0.0288,23.78106376,-0.063999846
2.5,0.0291,23.64775399,-0.064691568
2.5,0.0294,23.51845183,-0.065382731
2.5,0.0297,23.39299926,-0.066073342
3,0,3,0
3,0.0003,16.59493056,-1.47E-06
3,0.0006,30.17762247,-1.18E-05
3,0.0009,43.70345704,-3.97E-05
3,0.0012,57.07984299,-9.41E-05
3,0.0015,70.1579888,-0.000183786
3,0.0018,82.73116993,-0.000317582
3,0.0021,94.54134259,-0.000504308
3,0.0024,105.2957639,-0.000752786
3,0.0027,114.6936683,-0.001071838
3,0.003,122.4603313,-0.001470285
3,0.0033,128.3828696,-0.00195695
3,0.0036,132.3402499,-0.002540653
3,0.0039,134.320437,-0.003230217
3,0.0042,134.4758402,-0.004021812
3,0.0045,133.3929321,-0.004827375
3,0.0048,131.3535542,-0.005628579
3,0.0051,128.5572545,-0.006425723
3,0.0054,125.1922765,-0.00721907
3,0.0057,121.4271042,-0.00800885
3,0.006,117.406112,-0.00879527
3,0.0063,113.2484372,-0.009578514
3,0.0066,109.049076,-0.010358749
3,0.0069,104.8813003,-0.011136125
3,0.0072,100.7996943,-0.011910778
3,0.0075,96.84332324,-0.012682833
3,0.0078,93.03873088,-0.013452404
3,0.0081,89.40260824,-0.014219596
3,0.0084,85.94406851,-0.014984506
3,0.0087,82.66652635,-0.015747223
3,0.009,79.56921244,-0.01650783
3,0.0093,76.64836952,-0.017266405
3,0.0096,73.89818096,-0.01802302
3,0.0099,71.31148028,-0.018777742
3,0.0102,68.88028531,-0.019530634
3,0.0105,66.59619411,-0.020281754
3,0.0108,64.45067333,-0.02103116
3,0.0111,62.43526391,-0.021778903
3,0.0114,60.54172397,-0.022525032
3,0.0117,58.76212435,-0.023269594
3,0.012,57.08890891,-0.024012633
3,0.0123,55.51492893,-0.024754192
3,0.0126,54.03345857,-0.025494309
3,0.0129,52.63819698,-0.026233023
3,0.0132,51.32326087,-0.026970369
3,0.0135,50.08317084,-0.027706382
3,0.0138,48.91283341,-0.028441094
3,0.0141,47.80752075,-0.029174536
3,0.0144,46.76284897,-0.029906738
3,0.0147,45.77475611,-0.030637728
3,0.015,44.83948019,-0.031367533
3,0.0153,43.953538,-0.03209618
3,0.0156,43.11370461,-0.032823694
3,0.0159,42.31699404,-0.033550098
3,0.0162,41.56064101,-0.034275415
3,0.0165,40.84208385,-0.034999667
3,0.0168,40.15894861,-0.035722877
3,0.0171,39.50903436,-0.036445064
3,0.0174,38.89029949,-0.037166248
3,0.0177,38.30084917,-0.037886447
3,0.018,37.73892376,-0.038605681
3,0.0183,37.20288815,-0.039323968
3,0.0186,36.69122196,-0.040041323
3,0.0189,36.20251057,-0.040757764
3,0.0192,35.73543687,-0.041473306
3,0.0195,35.28877367,-0.042187965
3,0.0198,34.86137681,-0.042901757
3,0.0201,34.45217876,-0.043614694
3,0.0204,34.0601828,-0.044326792
3,0.0207,33.68445769,-0.045038065
3,0.021,33.32413271,-0.045748524
3,0.0213,32.9783932,-0.046458183
