sig3,eps1,sig1,eps3
20,0.008440868,253.243143,-0.001478283
20,0.009128901,251.7807618,-0.001478283
20,0.009816935,248.7189012,-0.001661759
20,0.010504969,246.5710288,-0.001936972
20,0.011193002,244.1032606,-0.002166317
20,0.0118237,241.0139803,-0.002452997
20,0.012454397,238.8021288,-0.002911686
20,0.012893974,235.054777,-0.003485048
20,0.013085094,231.7872691,-0.004173081
20,0.013360308,226.7557638,-0.004861115
20,0.013945136,224.1783169,-0.005549149
20,0.01463317,222.9901322,-0.006237182
20,0.015321204,221.5734505,-0.006925216
20,0.016009237,219.6083757,-0.007613249
20,0.016697271,217.7803993,-0.008301283
20,0.017385304,215.6325269,-0.008989317
20,0.018073338,213.0733598,-0.00967735
20,0.018704035,210.6330112,-0.010365384
20,0.019334733,206.995338,-0.011053417
20,0.019850758,204.2533733,-0.011741451
20,0.020118327,200.8716168,-0.012429484
20,0.020309447,197.1014153,-0.013117518
20,0.020424119,177.1993214,-0.013805552
20,0.020424119,174.3659578,-0.014493585
20,0.020469988,181.5681852,-0.015181619
20,0.020500568,192.5543238,-0.015869652
20,0.020538792,188.7155732,-0.016557686
20,0.0207108,185.1967185,-0.01724572
20,0.02145617,184.2141811,-0.017933753
20,0.022086867,184.145632,-0.018621787
20,0.022717565,183.1585247,-0.01930982
20,0.023176254,178.707402,-0.019997854
20,0.023726681,177.8391132,-0.020685888
20,0.024380313,177.8848126,-0.021373921
20,0.025068346,177.5649167,-0.021947282
20,0.025699044,177.6745953,-0.022520644
